workerid,proliferate.condition,blank_location,category,internal_node_id,nameType,names,pronouns,response,rt,sentence,stimID,stimType,stimulus,success,time_elapsed,trial_index,trial_type,word_count,error
3864,Pilot,3,,0.0-6.0-0.4,weName,,,I,6964,Everyone laughed when Jake told the joke at recess.,targ_11,nonreverse,,,612945,10,rsvp,9,
3864,Pilot,4,,0.0-6.0-0.5,youName,,,Felix,5407,"To hide the gold, Felix buried the treasure.",targ_15,nonreverse,,,622192,11,rsvp,8,
3864,Pilot,3,,0.0-6.0-0.6,youName,,,Sam,4231,It was wild Sam won the race yesterday.,targ_10,nonreverse,,,629994,12,rsvp,8,
3864,Pilot,3,,0.0-6.0-0.7,weName,,,Drevon,4370,"Wanting good photos, Devon met the photographer in-person.",targ_24,symm,,,637791,13,rsvp,8,
3864,Pilot,10,,0.0-6.0-0.8,filler,,,motorcycle.,9026,"After the weekend is over, Marisa can finally ride her motorcycle.",fill_23,temporal_words,,,650822,14,rsvp,11,
3864,Pilot,1,,0.0-6.0-0.9,filler,,,rumor,7011,"The rumor about Eduardo spread quickly, and the one about Malik did too.",fill_11,vp_ellip,,,661686,15,rsvp,13,
3864,Pilot,9,,0.0-6.0-0.10,filler,,,month.,32985,"Grant vacuums weekly, and Joel usually does so every month.",fill_09,vp_ellip,,,698417,16,rsvp,10,
3864,Pilot,1,,0.0-6.0-0.11,filler,,,rusty,5652,The rusty pipes the plumber tried to repair burst.,fill_14,center_embedding,,,707868,17,rsvp,9,
3864,Pilot,4,,0.0-6.0-0.12,weName,,,Andrian,6804,"To help with studying, Adrian quizzed the student.",targ_03,reverse_bias,,,718057,18,rsvp,8,
3864,Pilot,12,,0.0-6.0-0.13,filler,,,influencer,10763,"The scandal about the actor was leaked, and the one about the influencer was too.",fill_12,vp_ellip,,,733141,19,rsvp,15,
3864,Pilot,11,,0.0-6.0-0.14,filler,,,green,6016,The laptop the officer pulled out of the bag had a green cover.,fill_18,center_embedding,,,743237,20,rsvp,13,
3864,Pilot,4,,0.0-6.0-0.15,youName,,,Miguel,7772,It was rumored that Migual ruined the food.,targ_02,reverse_bias,,,782323,21,rsvp,8,
3864,Pilot,4,,0.0-6.0-0.16,weName,,,Dominique,8934,No one was surprised Dominique caught the fish.,targ_08,reverse_bias,,,794512,22,rsvp,8,
3864,Pilot,5,,0.0-6.0-0.17,youName,,,Ben,57356,"Even though it was dark, Ben saw the driver last night.",targ_19,symm,,,855716,23,rsvp,11,
3864,Pilot,3,,0.0-6.0-0.18,weName,,,Daisy,8826,No one knew Daisy loved the puppy so much.,targ_20,symm,,,868013,24,rsvp,9,
3864,Pilot,1,,0.0-6.0-0.19,filler,,,blue,112691,The greeting cards the kids made were covered in glitter.,fill_13,center_embedding,,,995046,25,rsvp,10,
3864,Pilot,4,,0.0-6.0-0.20,filler,,,dear,189061,While Ricardo hunted the deer ran away.,fill_02,garden_path,,,1198681,26,rsvp,7,
3864,Pilot,2,,0.0-6.0-0.21,youName,,,Alex,7458,Everyone knew Alex hit the red ball that broke the window.,targ_07,reverse_bias,,,1209898,27,rsvp,11,
3864,Pilot,2,,0.0-6.0-0.22,youName,,,Jarga,4717,"Feeling bad, Jarga fed the tabby cat some food.",targ_05,reverse_bias,,,1218155,28,rsvp,9,
3864,Pilot,5,,0.0-6.0-0.23,weName,,,Miguel,8009,"Yesterday afternoon, the dog bit Miguel on the leg.",targ_01,reverse_bias,,,1229646,29,rsvp,9,
3864,Pilot,1,,0.0-6.0-0.24,weName,,,Drevon,7362,"Reluctantly, Gabriela hugged the judge even though they were in court.",targ_18,symm,,,1240795,30,rsvp,10,
3864,Pilot,1,,0.0-6.0-0.25,filler,,,long,5701,"Before today, Francisco had never considered running this red light.",fill_22,temporal_words,,,1250066,31,rsvp,10,
3864,Pilot,2,,0.0-6.0-0.26,youName,,,Cordon,4925,"This morning, Cordon flew the plane in an emergency.",targ_14,nonreverse,,,1258431,32,rsvp,9,
3864,Pilot,3,,0.0-6.0-0.27,filler,,,the,4593,"The girl bought two stuffed animals, and the boy did too.",fill_10,vp_ellip,,,1266994,33,rsvp,11,
3864,Pilot,2,,0.0-6.0-0.28,filler,,,mother,6731,While the mother calms down the children sit on the bed.,fill_06,garden_path,,,1277483,34,rsvp,11,
3864,Pilot,4,,0.0-6.0-0.29,youName,,,Tom,5646,"To win the game, Tom chose the player with the blue tee.",targ_23,symm,,,1286912,35,rsvp,12,
3864,Pilot,4,,0.0-6.0-0.30,youName,,,Brewit,5210,"To meet the deadline, Bret reviewed the paper quickly.",targ_09,nonreverse,,,1295390,36,rsvp,9,
3864,Pilot,6,,0.0-6.0-0.31,weName,,,Alejandro,8017,People are going to dance whenever Alejandro plays music.,targ_12,nonreverse,,,1306792,37,rsvp,9,
3864,Pilot,2,,0.0-6.0-0.32,youName,,,Eudanra,8829,"Last week, Enuaran accidentally kissed the neighbor at the party.",targ_17,symm,,,1319098,38,rsvp,10,
3864,Pilot,8,,0.0-6.0-0.33,filler,,,sister,4614,"The neighbor goes out with friends, and his sister does too.",fill_07,vp_ellip,,,1327892,39,rsvp,11,
3864,Pilot,9,,0.0-6.0-0.34,filler,,,hat,10666,While the student read the notes blew off the desk.,fill_03,garden_path,,,1364699,40,rsvp,10,
3864,Pilot,4,,0.0-6.0-0.35,weName,,,Carly,4470,It was revealed that Carly typed the mysterious letter.,targ_13,nonreverse,,,1372510,41,rsvp,9,
3864,Pilot,3,,0.0-6.0-0.36,filler,,,Thurdays,27735,"Vincent works on Tuesdays, and Summer does on Thursdays too.",fill_08,vp_ellip,,,1407378,42,rsvp,10,
3864,Pilot,2,,0.0-6.0-0.37,youName,,,Francisco,10971,It was Fransco who pursued the thief this morning.,targ_04,reverse_bias,,,1421806,43,rsvp,9,
3864,Pilot,8,,0.0-6.0-0.38,filler,,,play,4173,"After next Friday, Adriana will prepare for the poetry contest.",fill_21,temporal_words,,,1429920,44,rsvp,10,
3864,Pilot,3,,0.0-6.0-0.39,filler,,,coyote,12745,The squirrel the coyote chased found an acorn.,fill_15,center_embedding,,,1445898,45,rsvp,8,
3864,Pilot,6,,0.0-6.0-0.40,filler,,,two,4167,"Next month, the players will have two weeks of dress rehearsals.",fill_20,temporal_words,,,1453963,46,rsvp,11,
3864,Pilot,4,,0.0-6.0-0.41,filler,,,fish,11088,While Alec orders the fish cooks in a pot.,fill_04,garden_path,,,1468647,47,rsvp,9,
3864,Pilot,1,,0.0-6.0-0.42,filler,,,night,5666,"Last month, people argued where to build the new post office in the town.",fill_24,temporal_words,,,1496446,48,rsvp,14,
3864,Pilot,2,,0.0-6.0-0.43,weName,,,Katrina,4915,"Earlier today, Karina treated the tall patient at the hospital.",targ_06,reverse_bias,,,1504949,49,rsvp,10,
3864,Pilot,4,,0.0-6.0-0.44,filler,,,offer,14513,The assistant Oscar trained forgot the list of coffee orders. ,fill_16,center_embedding,,,1523088,50,rsvp,10,
3864,Pilot,4,,0.0-6.0-0.45,youName,,,Andrew,4458,It was nice of Andrew to thank the mean customer.,targ_22,symm,,,1531097,51,rsvp,10,
3864,Pilot,1,,0.0-6.0-0.46,filler,,,afternoon,5933,"Tomorrow afternoon, the soccer team will visit the history museum.",fill_19,temporal_words,,,1540702,52,rsvp,10,
3864,Pilot,4,,0.0-6.0-0.47,weName,,,Kendra,7320,"Coming home last night, Kendra pulled the wagon.",targ_16,nonreverse,,,1551292,53,rsvp,8,
3864,Pilot,,demoSurvey,0.0-7.0,,,,"{'age': '65', 'enjoy': 'Better than the average experiment', 'gender': 'Male', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'education': 'Hold a higher degree'}",26148,,,,,,1577443,54,survey-html-form,,
3864,Pilot,,,0.0-8.0,,,,,,,,,,True,1577445,55,fullscreen,,
3864,Pilot,,thanks,0.0-9.0,,,,0,1782,,,,Thank you for your time! Please click 'Continue' and then wait a moment until you're directed back to Prolific.<br><br>,,1579228,56,html-button-response,,
3861,Pilot,,irb,0.0-0.0,,,,0,7497,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics and the University of Southern California Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the questions following the study. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>",,7499,0,html-button-response,,
3861,Pilot,,,0.0-1.0,,,,,1325,,,,,True,9828,1,fullscreen,,
3861,Pilot,,gameData,0.0-2.0,,"['Tyler', 'Garrett', 'Jared', 'Brianna', 'Adrienne', 'John', 'Ellen', 'James', 'Dorothy', 'Elizabeth', 'Jennifer', 'Chris']","[None, None, None, None, None, None, None, None, None, None, None, None]",,,,,,,,88928,2,madlibs,,
3861,Pilot,,instructions,0.0-3.0,,,,0,12048,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    <h2 style=""text-align: center;"">Instructions</h2>
    <p>In this experiment, you will read a series of 48 sentences that appear one word at a time in the center of the screen. Each trial will begin with a black '+' in the middle. Focus on this '+' and continue watching as the words replace it. The words are presented quickly, and you will not be able to review the sentence after it has passed.</p>
    <p>After each sentence, you will be asked to fill in a missing word that best completes the sentence. Please read carefully and do your best to understand the meaning of each sentence.</p>
    <p>The experiment will take about 10-15 minutes to complete.</p>
    <p>When you are ready, press 'Begin' to start.</p>
  </div>",,100977,3,html-button-response,,
3861,Pilot,4,practice,0.0-4.0,,,,sentence,6119,This is a practice sentence to help you get used to the task.,,,,,113086,4,rsvp,,
3861,Pilot,,instructions,0.0-5.0,,,,0,3500,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    <h2 style=""text-align: center;"">End of Practice</h2>
    <p>You have completed the practice trial. The main experiment will now begin. Remember to read each sentence carefully and fill in the missing word after each sentence.</p>
    <p>When you are ready, press 'Continue' to start the main experiment.</p>
  </div>",,116586,5,html-button-response,,
3861,Pilot,4,,0.0-6.0-0.0,weName,,,Desiree,3704,"To hide the gold, Desiree buried the treasure.",targ_15,nonreverse,,,123554,6,rsvp,8,
3861,Pilot,3,,0.0-6.0-0.1,youName,,,Chris,2235,Everyone laughed when Chris told the joke at recess.,targ_11,nonreverse,,,129222,7,rsvp,9,
3861,Pilot,2,,0.0-6.0-0.2,weName,,,Cassidy,2340,"Feeling bad, Cassidy fed the tabby cat some food.",targ_05,reverse_bias,,,134673,8,rsvp,9,
3861,Pilot,2,,0.0-6.0-0.3,weName,,,Karina,3027,"Earlier today, Karina treated the tall patient at the hospital.",targ_06,reverse_bias,,,141066,9,rsvp,10,
3861,Pilot,4,,0.0-6.0-0.4,youName,,,Jennifer,2243,No one was surprised Jennifer caught the fish.,targ_08,reverse_bias,,,146189,10,rsvp,8,
3861,Pilot,4,,0.0-6.0-0.5,filler,,,deer,3731,While Ricardo hunted the deer ran away.,fill_02,garden_path,,,152667,11,rsvp,7,
3861,Pilot,1,,0.0-6.0-0.6,filler,,,greeting,2361,The greeting cards the kids made were covered in glitter.,fill_13,center_embedding,,,158166,12,rsvp,10,
3861,Pilot,3,,0.0-6.0-0.7,youName,,,Elizabeth,4058,No one knew Elizabeth loved the puppy so much.,targ_20,symm,,,165318,13,rsvp,9,
3861,Pilot,4,,0.0-6.0-0.8,weName,,,Brett,2034,"To meet the deadline, Brett reviewed the paper quickly.",targ_09,nonreverse,,,170323,14,rsvp,9,
3861,Pilot,5,,0.0-6.0-0.9,youName,,,Dorothy,2522,"Even though it was dark, Dorothy saw the driver last night.",targ_19,symm,,,176056,15,rsvp,11,
3861,Pilot,1,,0.0-6.0-0.10,filler,,,rumor,2419,"The rumor about Eduardo spread quickly, and the one about Malik did too.",fill_11,vp_ellip,,,182026,16,rsvp,13,
3861,Pilot,1,,0.0-6.0-0.11,filler,,,today,2135,"Before today, Francisco had never considered running this red light.",fill_22,temporal_words,,,187269,17,rsvp,10,
3861,Pilot,10,,0.0-6.0-0.12,filler,,,motorcycle,4099,"After the weekend is over, Marisa can finally ride her motorcycle.",fill_23,temporal_words,,,194566,18,rsvp,11,
3861,Pilot,5,,0.0-6.0-0.13,filler,,,cried,2769,While Kara bathed the baby cried.,fill_01,garden_path,,,199852,19,rsvp,6,
3861,Pilot,1,,0.0-6.0-0.14,filler,,,message,2428,The message Nancy sent to her mom wasn't delivered.,fill_17,center_embedding,,,205225,20,rsvp,9,
3861,Pilot,6,,0.0-6.0-0.15,filler,,,two,2889,"Next month, the players will have two weeks of dress rehearsals.",fill_20,temporal_words,,,213031,21,rsvp,11,
3861,Pilot,4,,0.0-6.0-0.16,youName,,,James,2683,"Coming home last night, James pulled the wagon.",targ_16,nonreverse,,,218495,22,rsvp,8,
3861,Pilot,4,,0.0-6.0-0.17,filler,,,forgot,3577,The assistant Oscar trained forgot the list of coffee orders. ,fill_16,center_embedding,,,225210,23,rsvp,10,
3861,Pilot,4,,0.0-6.0-0.18,weName,,,Carly,2876,It was revealed that Carly typed the mysterious letter.,targ_13,nonreverse,,,231031,24,rsvp,9,
3861,Pilot,4,,0.0-6.0-0.19,weName,,,Angel,8791,It was no secret Angel despised the baker.,targ_21,symm,,,242642,25,rsvp,8,
3861,Pilot,4,,0.0-6.0-0.20,weName,,,Adrian,1950,"To help with studying, Adrian quizzed the student.",targ_03,reverse_bias,,,247347,26,rsvp,8,
3861,Pilot,9,,0.0-6.0-0.21,filler,,,desk,2037,While the student read the notes blew off the desk.,fill_03,garden_path,,,252364,27,rsvp,10,
3861,Pilot,4,,0.0-6.0-0.22,youName,,,Ellen,2054,It was rumored that Ellen ruined the food.,targ_02,reverse_bias,,,257242,28,rsvp,8,
3861,Pilot,1,,0.0-6.0-0.23,filler,,,rusty,2801,The rusty pipes the plumber tried to repair burst.,fill_14,center_embedding,,,262851,29,rsvp,9,
3861,Pilot,8,,0.0-6.0-0.24,filler,,,sister,3643,"The neighbor goes out with friends, and his sister does too.",fill_07,vp_ellip,,,269551,30,rsvp,11,
3861,Pilot,9,,0.0-6.0-0.25,filler,,,month,2752,"Grant vacuums weekly, and Joel usually does so every month.",fill_09,vp_ellip,,,275287,31,rsvp,10,
3861,Pilot,2,,0.0-6.0-0.26,youName,,,John,2406,"This morning, John flew the plane in an emergency.",targ_14,nonreverse,,,280416,32,rsvp,9,
3861,Pilot,6,,0.0-6.0-0.27,youName,,,Adrienne,2627,People are going to dance whenever Adrienne plays music.,targ_12,nonreverse,,,285902,33,rsvp,9,
3861,Pilot,8,,0.0-6.0-0.28,filler,,,poetry,3498,"After next Friday, Adriana will prepare for the poetry contest.",fill_21,temporal_words,,,292390,34,rsvp,10,
3861,Pilot,3,,0.0-6.0-0.29,filler,,,two,2537,"The girl bought two stuffed animals, and the boy did too.",fill_10,vp_ellip,,,298056,35,rsvp,11,
3861,Pilot,2,,0.0-6.0-0.30,filler,,,mother,3098,While the mother calms down the children sit on the bed.,fill_06,garden_path,,,304144,36,rsvp,11,
3861,Pilot,1,,0.0-6.0-0.31,filler,,,morning,3771,"Tomorrow afternoon, the soccer team will visit the history museum.",fill_19,temporal_words,,,311036,37,rsvp,10,
3861,Pilot,1,,0.0-6.0-0.32,weName,,,Gabriela,3674,"Reluctantly, Gabriela hugged the judge even though they were in court.",targ_18,symm,,,317967,38,rsvp,10,
3861,Pilot,2,,0.0-6.0-0.33,youName,,,Brianna,2520,"Last week, Brianna accidentally kissed the neighbor at the party.",targ_17,symm,,,323394,39,rsvp,10,
3861,Pilot,4,,0.0-6.0-0.34,youName,,,Jared,1776,"To win the game, Jared chose the player with the blue tee.",targ_23,symm,,,328291,40,rsvp,12,
3861,Pilot,1,,0.0-6.0-0.35,filler,,,week,3540,"Last month, people argued where to build the new post office in the town.",fill_24,temporal_words,,,335373,41,rsvp,14,
3861,Pilot,4,,0.0-6.0-0.36,filler,,,stew,7644,While Alec orders the fish cooks in a pot.,fill_04,garden_path,,,345752,42,rsvp,9,
3861,Pilot,3,,0.0-6.0-0.37,weName,,,Devon,2029,"Wanting good photos, Devon met the photographer in-person.",targ_24,symm,,,350485,43,rsvp,8,
3861,Pilot,5,,0.0-6.0-0.38,weName,,,Miguel,4492,"Yesterday afternoon, the dog bit Miguel on the leg.",targ_01,reverse_bias,,,357830,44,rsvp,9,
3861,Pilot,3,,0.0-6.0-0.39,weName,,,Shane,2699,It was wild Shane won the race yesterday.,targ_10,nonreverse,,,363396,45,rsvp,8,
3861,Pilot,2,,0.0-6.0-0.40,youName,,,Garrett,2287,Everyone knew Garrett hit the red ball that broke the window.,targ_07,reverse_bias,,,368922,46,rsvp,11,
3861,Pilot,2,,0.0-6.0-0.41,youName,,,Tyler,1951,It was Tyler who pursued the thief this morning.,targ_04,reverse_bias,,,373666,47,rsvp,9,
3861,Pilot,12,,0.0-6.0-0.42,filler,,,influencer,5228,"The scandal about the actor was leaked, and the one about the influencer was too.",fill_12,vp_ellip,,,382847,48,rsvp,15,
3861,Pilot,4,,0.0-6.0-0.43,filler,,,dusty,3928,While Jorge drove the dusty car veered into a ditch.,fill_05,garden_path,,,389752,49,rsvp,10,
3861,Pilot,11,,0.0-6.0-0.44,filler,,,green,1757,The laptop the officer pulled out of the bag had a green cover.,fill_18,center_embedding,,,395084,50,rsvp,13,
3861,Pilot,3,,0.0-6.0-0.45,filler,,,coyote,5983,The squirrel the coyote chased found an acorn.,fill_15,center_embedding,,,403891,51,rsvp,8,
3861,Pilot,4,,0.0-6.0-0.46,weName,,,Colton,2727,It was nice of Colton to thank the mean customer.,targ_22,symm,,,409561,52,rsvp,10,
3861,Pilot,3,,0.0-6.0-0.47,filler,,,Thursdays,7666,"Vincent works on Tuesdays, and Summer does on Thursdays too.",fill_08,vp_ellip,,,420097,53,rsvp,10,
3861,Pilot,,demoSurvey,0.0-7.0,,,,"{'age': '51', 'enjoy': 'Better than the average experiment', 'gender': 'Female', 'correct': 'Yes', 'payment': 'The payment was fair', 'comments': '', 'education': 'Hold a higher degree'}",21582,,,,,,441681,54,survey-html-form,,
3861,Pilot,,,0.0-8.0,,,,,,,,,,True,441684,55,fullscreen,,
3861,Pilot,,thanks,0.0-9.0,,,,0,9897,,,,Thank you for your time! Please click 'Continue' and then wait a moment until you're directed back to Prolific.<br><br>,,451582,56,html-button-response,,
3857,Pilot,,irb,0.0-0.0,,,,0,2217,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;""><h2 style=""text-align: center;"">Consent to Participate</h2><p>By completing this study, you are participating in research being performed by cognitive scientists in the Stanford University Department of Linguistics and the University of Southern California Department of Linguistics. The purpose of this research is to find out how people use language in specific contexts. You must be at least 18 years old to participate. There are neither specific benefits nor anticipated risks associated with participation in this study. Your participation in this study is completely voluntary and you can withdraw at any time by simply exiting the study. You may decline to answer any or all of the questions following the study. Choosing not to participate or withdrawing will result in no penalty. Your anonymity is assured; the researchers who have requested your participation will not receive any personal information about you, and any information you provide will not be shared in association with any personally identifying information.</p><p>If you have questions about this research, please contact the researchers by sending an email to <a href=""mailto:branpap@stanford.edu"" style=""color: blue;"">branpap@stanford.edu</a>. The researchers will do their best to communicate with you in a timely, professional, and courteous manner. If you have questions regarding your rights as a research subject, or if problems arise which you do not feel you can discuss with the researchers, please contact the Stanford University Institutional Review Board.</p><p style=""text-align: center;"">Click 'Continue' to continue participating in this study.</p></div>",,2225,0,html-button-response,,
3857,Pilot,,,0.0-1.0,,,,,1286,,,,,True,4513,1,fullscreen,,
3857,Pilot,,gameData,0.0-2.0,,"['Paul', 'Gina', 'Ringo', 'Angela', 'India', 'Jose', 'Juan', 'Benny', 'Benjamin', 'Peter', 'Zane', 'Shania']","[None, None, None, None, None, None, None, None, None, None, None, None]",,,,,,,,74536,2,madlibs,,
3857,Pilot,,instructions,0.0-3.0,,,,0,7240,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    <h2 style=""text-align: center;"">Instructions</h2>
    <p>In this experiment, you will read a series of 48 sentences that appear one word at a time in the center of the screen. Each trial will begin with a black '+' in the middle. Focus on this '+' and continue watching as the words replace it. The words are presented quickly, and you will not be able to review the sentence after it has passed.</p>
    <p>After each sentence, you will be asked to fill in a missing word that best completes the sentence. Please read carefully and do your best to understand the meaning of each sentence.</p>
    <p>The experiment will take about 10-15 minutes to complete.</p>
    <p>When you are ready, press 'Begin' to start.</p>
  </div>",,81777,3,html-button-response,,
3857,Pilot,4,practice,0.0-4.0,,,,sentence,4686,This is a practice sentence to help you get used to the task.,,,,,91389,4,rsvp,,
3857,Pilot,,instructions,0.0-5.0,,,,0,4959,,,,"<div style=""max-width: 1000px; margin: 0 auto; text-align: left;"">
    <h2 style=""text-align: center;"">End of Practice</h2>
    <p>You have completed the practice trial. The main experiment will now begin. Remember to read each sentence carefully and fill in the missing word after each sentence.</p>
    <p>When you are ready, press 'Continue' to start the main experiment.</p>
  </div>",,96348,5,html-button-response,,
3857,Pilot,2,,0.0-6.0-0.0,filler,,,mother,2059,While the mother calms down the children sit on the bed.,fill_06,garden_path,,,102857,6,rsvp,11,
3857,Pilot,4,,0.0-6.0-0.1,filler,,,dusty,2030,While Jorge drove the dusty car veered into a ditch.,fill_05,garden_path,,,108479,7,rsvp,10,
3857,Pilot,6,,0.0-6.0-0.2,youName,,,Shania,2059,People are going to dance whenever Shania plays music.,targ_12,nonreverse,,,113659,8,rsvp,9,
3857,Pilot,1,,0.0-6.0-0.3,filler,,,"month,",2820,"Last month, people argued where to build the new post office in the town.",fill_24,temporal_words,,,120325,9,rsvp,14,
3857,Pilot,3,,0.0-6.0-0.4,weName,,,Shane,1377,It was wild Shane won the race yesterday.,targ_10,nonreverse,,,124681,10,rsvp,8,
3857,Pilot,12,,0.0-6.0-0.5,filler,,,influence,2033,"The scandal about the actor was leaked, and the one about the influencer was too.",fill_12,vp_ellip,,,130370,11,rsvp,15,
3857,Pilot,1,,0.0-6.0-0.6,filler,,,rusty,1169,The rusty pipes the plumber tried to repair burst.,fill_14,center_embedding,,,135131,12,rsvp,9,
3857,Pilot,1,,0.0-6.0-0.7,filler,,,greeting,2533,The greeting cards the kids made were covered in glitter.,fill_13,center_embedding,,,140459,13,rsvp,10,
3857,Pilot,8,,0.0-6.0-0.8,filler,,,sister,3493,"The neighbor goes out with friends, and his sister does too.",fill_07,vp_ellip,,,146741,14,rsvp,11,
3857,Pilot,3,,0.0-6.0-0.9,filler,,,coyote,4547,The squirrel the coyote chased found an acorn.,fill_15,center_embedding,,,153576,15,rsvp,8,
3857,Pilot,4,,0.0-6.0-0.10,weName,,,Angel,1424,It was no secret Angel despised the baker.,targ_21,symm,,,157682,16,rsvp,8,
3857,Pilot,4,,0.0-6.0-0.11,weName,,,Kendra,1393,"Coming home last night, Kendra pulled the wagon.",targ_16,nonreverse,,,161583,17,rsvp,8,
3857,Pilot,3,,0.0-6.0-0.12,filler,,,two,1774,"The girl bought two stuffed animals, and the boy did too.",fill_10,vp_ellip,,,166323,18,rsvp,11,
3857,Pilot,3,,0.0-6.0-0.13,youName,,,Zane,1071,No one knew Zane loved the puppy so much.,targ_20,symm,,,171173,19,rsvp,9,
3857,Pilot,4,,0.0-6.0-0.14,youName,,,Peter,2244,"To meet the deadline, Peter reviewed the paper quickly.",targ_09,nonreverse,,,175930,20,rsvp,9,
3857,Pilot,11,,0.0-6.0-0.15,filler,,,green,1266,The laptop the officer pulled out of the bag had a green cover.,fill_18,center_embedding,,,180247,21,rsvp,13,
3857,Pilot,1,,0.0-6.0-0.16,filler,,,"afternoon,",3299,"Tomorrow afternoon, the soccer team will visit the history museum.",fill_19,temporal_words,,,186139,22,rsvp,10,
3857,Pilot,5,,0.0-6.0-0.17,youName,,,Benjamin,2214,"Even though it was dark, Benjamin saw the driver last night.",targ_19,symm,,,191113,23,rsvp,11,
